fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish12,Baseline,26,3,6,5,5.774135079,-4.615523522,-10.10033603
fish12,Baseline,27,4,6,1,8.310597265,-2.545833826,-2.46102843
fish12,Baseline,29,6,6,2,6.776241662,-9.885550091,-5.408943539
fish12,Baseline,30,7,6,1,8.524061285,6.598393267,9.739843656
fish12,Baseline,31,8,6,1,6.472428407,17.52404249,23.17151528
fish12,Baseline,32,9,6,3,5.653941913,-3.137711639,7.623917267
fish12,Baseline,33,10,6,4,5.035283598,1.99302622,0.16216983
fish12,Baseline,34,11,6,3,5.052585396,9.104064351,11.95449209
fish12,Baseline,35,12,6,2,7.175831044,-2.201703862,12.1584494
fish12,Baseline,36,13,6,4,6.078867131,4.550772625,8.171725885
fish12,Baseline,37,14,6,3,4.285702803,-0.277410965,-0.805350374
fish12,Baseline,38,15,6,5,4.034241588,-2.147209584,-11.10339526
fish12,Baseline,39,16,6,4,5.647531519,0.862681206,-6.150024928
fish12,Baseline,40,17,6,5,4.380006294,0.321744945,5.780608636
fish12,Baseline,41,18,6,6,4.492493617,0.848614228,0.229133075
fish12,Baseline,42,19,6,2,5.406355787,2.431938103,9.336739066
fish12,Baseline,43,20,6,1,5.887735885,12.11970813,13.19043605
fish12,Baseline,44,21,6,3,4.863569962,-0.092608525,0.720619366
fish12,Baseline,45,22,6,4,3.983858979,-1.194326547,6.032040222
fish12,Baseline,46,23,6,2,3.786006048,-4.029803704,-3.941313608
fish12,Baseline,47,24,6,4,3.887180729,-1.011221012,-1.816583155
fish12,Baseline,48,25,6,4,4.936414104,0.581834881,-6.119407929
fish12,Rotation,1,26,6,2,4.672872778,13.4909792,14.05212052
fish12,Rotation,2,27,6,3,5.154868207,3.716574128,-17.89367284
fish12,Rotation,3,28,6,4,4.659262504,-5.691209697,-12.62399186
fish12,Rotation,4,29,6,2,5.80455358,-0.547899012,-15.23826555
fish12,Rotation,5,30,6,3,4.651664891,2.708149568,-11.75495269
fish12,Rotation,6,31,6,3,4.551667403,1.499262528,1.142219529
fish12,Rotation,7,32,6,4,5.01676821,3.848232247,6.686356087
fish12,Rotation,8,33,6,1,9.883933413,-19.20131863,-23.7702753
fish12,Rotation,9,34,6,3,8.144873608,6.255789548,6.142588116
fish12,Rotation,10,35,6,1,8.315155746,15.39613456,7.601660593
fish12,Rotation,11,36,6,4,5.92047178,-2.43759607,-9.224401923
fish12,Rotation,12,37,6,2,8.913252969,8.232851603,8.162423572
fish12,Rotation,13,38,6,3,6.384890996,1.440250026,6.178680577
fish12,Rotation,14,39,6,2,5.913432393,-2.332002989,-18.76569271
fish12,Rotation,15,40,6,4,7.009293456,1.220817207,-6.495336335
fish12,Washout,1,41,6,2,8.317740493,-4.158449752,-5.852098346
fish12,Washout,2,42,6,2,6.880410939,-12.20639932,-28.75980881
fish12,Washout,3,43,6,3,7.876595454,-5.745817961,-4.602919952
fish12,Washout,4,44,6,2,5.881485742,-12.67873437,-21.44263216
fish12,Washout,5,45,6,4,3.753827928,-5.304917955,-9.929540367
fish12,Washout,6,46,6,3,9.188379813,-9.1521358,-34.37657272
fish12,Washout,7,47,6,4,5.20591354,-6.338081982,-8.703285233
fish12,Washout,8,48,6,2,5.893663796,-12.32215718,-20.27319085
fish12,Washout,9,49,6,1,8.249925586,-37.75087957,-53.9222474
fish12,Washout,10,50,6,5,4.716973866,-5.670462202,-5.480577055
fish12,ReRotation,1,51,6,0,10.3396336,14.5089332,5.185576278
fish12,ReRotation,2,52,6,2,7.126061096,16.75791808,13.56458257
fish12,ReRotation,3,53,6,3,8.376078097,7.024382992,-0.438416635
