,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],5.99,0.596,4.858,7.107,0.008,0.006,5055.0,2941.0,1.0
x[Rotation],6.11,0.463,5.25,6.967,0.008,0.006,3472.0,3128.0,1.0
x[Washout],3.896,0.366,3.191,4.568,0.006,0.004,3529.0,2786.0,1.0
x[ReRotation],5.079,0.416,4.283,5.855,0.007,0.005,3693.0,3193.0,1.0
x[ReWashout],6.256,0.947,4.453,8.005,0.016,0.012,3229.0,2619.0,1.0
