y,fish,stage,day,plotday
12.64896578,10,Rotation,4.0,29
3.630723476,10,Rotation,4.0,29
15.7737142,10,Rotation,4.0,29
4.131203524,10,Rotation,4.0,29
8.433383745,10,Rotation,4.0,29
13.83713303,10,Rotation,4.0,29
2.226783281,10,Rotation,5.0,30
6.210289652,10,Rotation,5.0,30
15.70050688,10,Rotation,5.0,30
3.869647279,10,Rotation,5.0,30
3.109294331,10,Rotation,5.0,30
6.840128501,10,Rotation,5.0,30
2.262221663,10,Rotation,6.0,31
3.790940407,10,Rotation,6.0,31
12.24253645,10,Rotation,6.0,31
10.6833706,10,Rotation,6.0,31
21.90915882,10,Rotation,6.0,31
5.186751767,10,Rotation,6.0,31
13.86975405,10,Rotation,7.0,32
3.395807476,10,Rotation,7.0,32
6.023786962,10,Rotation,7.0,32
11.36918094,10,Rotation,7.0,32
3.224519613,10,Rotation,7.0,32
10.74249274,10,Rotation,7.0,32
6.226346683,10,Rotation,8.0,33
10.12299567,10,Rotation,8.0,33
3.504178707,10,Rotation,8.0,33
2.781148554,10,Rotation,8.0,33
4.610441898,10,Rotation,8.0,33
8.232142675,10,Rotation,8.0,33
3.586613383,10,Rotation,9.0,34
12.48645288,10,Rotation,9.0,34
10.72376874,10,Rotation,9.0,34
5.085744485,10,Rotation,9.0,34
2.213594355,10,Rotation,9.0,34
17.79453579,10,Rotation,9.0,34
6.451107672,10,Rotation,10.0,35
2.482114366,10,Rotation,10.0,35
2.946495839,10,Rotation,10.0,35
4.560032007,10,Rotation,10.0,35
5.580062107,10,Rotation,10.0,35
10.37854073,10,Rotation,10.0,35
4.830080554,10,Rotation,11.0,36
3.592421009,10,Rotation,11.0,36
4.749139279,10,Rotation,11.0,36
2.248376584,10,Rotation,11.0,36
10.69050485,10,Rotation,11.0,36
2.677530261,10,Rotation,11.0,36
4.801970169,10,Rotation,12.0,37
9.558762982,10,Rotation,12.0,37
3.410887388,10,Rotation,12.0,37
2.77229792,10,Rotation,12.0,37
7.293483988,10,Rotation,12.0,37
4.211695278,10,Rotation,12.0,37
4.580826223,10,Rotation,13.0,38
2.801273111,10,Rotation,13.0,38
3.095604507,10,Rotation,13.0,38
2.254179833,10,Rotation,13.0,38
9.424008757,10,Rotation,13.0,38
2.38731832,10,Rotation,13.0,38
4.592922066,10,Rotation,14.0,39
9.530112771,10,Rotation,14.0,39
11.17988558,10,Rotation,14.0,39
2.258988687,10,Rotation,14.0,39
5.413393864,10,Rotation,14.0,39
4.34940433,10,Rotation,14.0,39
2.550975479,10,Rotation,15.0,40
2.510210515,10,Rotation,15.0,40
2.649552495,10,Rotation,15.0,40
8.248636927,10,Rotation,15.0,40
9.323216932,10,Rotation,15.0,40
2.954829901,10,Rotation,15.0,40
2.284984086,10,Washout,1.0,41
3.561491102,10,Washout,1.0,41
2.347808446,10,Washout,1.0,41
6.328781242,10,Washout,1.0,41
10.48705205,10,Washout,1.0,41
8.301502838,10,Washout,1.0,41
3.239394678,10,Washout,2.0,42
5.90610115,10,Washout,2.0,42
2.384862193,10,Washout,2.0,42
2.25138673,10,Washout,2.0,42
2.351123678,10,Washout,2.0,42
6.801557133,10,Washout,2.0,42
2.907476333,10,Washout,3.0,43
2.273569892,10,Washout,3.0,43
5.872936931,10,Washout,3.0,43
2.268600687,10,Washout,3.0,43
7.034901207,10,Washout,3.0,43
2.369915552,10,Washout,3.0,43
2.294344419,10,Washout,4.0,44
5.451972886,10,Washout,4.0,44
2.284773112,10,Washout,4.0,44
2.500222233,10,Washout,4.0,44
4.422956796,10,Washout,4.0,44
2.499516334,10,Washout,4.0,44
2.640258269,10,Washout,5.0,45
3.683465253,10,Washout,5.0,45
2.315503228,10,Washout,5.0,45
4.876779597,10,Washout,5.0,45
2.414343509,10,Washout,5.0,45
6.641182702,10,Washout,5.0,45
2.292925572,10,Washout,6.0,46
2.381176914,10,Washout,6.0,46
2.331204643,10,Washout,6.0,46
2.509044669,10,Washout,6.0,46
2.437415412,10,Washout,6.0,46
2.326284814,10,Washout,6.0,46
3.764656508,10,Washout,7.0,47
2.415540569,10,Washout,7.0,47
3.726523291,10,Washout,7.0,47
2.349272837,10,Washout,7.0,47
2.369136774,10,Washout,7.0,47
2.539052776,10,Washout,7.0,47
6.567743151,10,Washout,8.0,48
2.298738873,10,Washout,8.0,48
5.793789531,10,Washout,8.0,48
2.494892841,10,Washout,8.0,48
9.451634535,10,Washout,8.0,48
2.600726658,10,Washout,8.0,48
2.879612961,10,Washout,9.0,49
8.980372803,10,Washout,9.0,49
5.656542514,10,Washout,9.0,49
3.699343952,10,Washout,9.0,49
2.468134987,10,Washout,9.0,49
2.644484833,10,Washout,9.0,49
2.390098699,10,Washout,10.0,50
5.086217482,10,Washout,10.0,50
3.936627564,10,Washout,10.0,50
