,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ_μ_inf[Baseline],3.24,0.198,2.883,3.633,0.003,0.002,5030.0,3186.0,1.0
μ_μ_inf[Rotation],3.833,0.299,3.277,4.385,0.004,0.003,4500.0,2912.0,1.0
μ_μ_inf[Washout],3.238,0.291,2.696,3.781,0.004,0.003,5583.0,3247.0,1.0
μ_μ_inf[ReRotation],3.455,0.362,2.762,4.12,0.005,0.003,5897.0,2988.0,1.0
μ_μ_inf[ReWashout],4.408,0.64,3.233,5.595,0.009,0.006,4959.0,3301.0,1.0
