,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],-0.234,0.085,-0.387,-0.081,0.001,0.001,4574.0,2667.0,1.0
x[Rotation],-0.944,0.536,-1.857,-0.156,0.008,0.006,3997.0,2015.0,1.0
x[Washout],-0.283,0.616,-0.965,0.18,0.011,0.008,2470.0,1905.0,1.0
x[ReRotation],-0.367,0.358,-0.983,-0.013,0.007,0.005,2447.0,1455.0,1.0
x[ReWashout],-0.316,0.214,-0.619,-0.028,0.003,0.003,3795.0,3715.0,1.0
