,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ_μ_inf[Baseline],-3.169,0.698,-4.567,-1.937,0.016,0.012,2056.0,2107.0,1.0
μ_μ_inf[Rotation],-1.499,1.392,-4.098,1.126,0.031,0.022,2092.0,2600.0,1.0
μ_μ_inf[Washout],-3.491,0.92,-5.206,-1.714,0.023,0.016,1702.0,2201.0,1.0
μ_μ_inf[ReRotation],-1.711,2.336,-6.051,2.603,0.05,0.037,2202.0,2278.0,1.0
μ_μ_inf[ReWashout],-6.813,4.115,-14.536,0.743,0.049,0.042,7012.0,2964.0,1.0
