,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],-2.531,5.179,-12.369,7.039,0.079,0.067,4327.0,3580.0,1.0
x[Rotation],11.427,2.221,7.548,15.787,0.039,0.028,3267.0,2894.0,1.0
x[Washout],-8.766,2.587,-13.868,-4.174,0.056,0.04,2232.0,2547.0,1.0
x[ReRotation],10.959,1.864,7.616,14.674,0.029,0.02,4241.0,2954.0,1.0
x[ReWashout],-3.846,8.431,-19.633,12.189,0.098,0.123,7352.0,3111.0,1.0
