,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],-0.523,1.815,-3.036,2.16,0.033,0.023,3010.0,2738.0,1.0
x[Rotation],-6.536,3.704,-13.488,-1.649,0.076,0.054,2404.0,2588.0,1.0
x[Washout],6.049,9.387,-5.658,21.847,0.197,0.139,2015.0,2445.0,1.0
x[ReRotation],-2.325,1.126,-4.468,-0.502,0.022,0.016,2649.0,2802.0,1.0
x[ReWashout],0.466,2.757,-4.243,5.636,0.062,0.049,2450.0,2201.0,1.0
