,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],0.407,0.276,-0.03,0.901,0.005,0.004,3181.0,2962.0,1.0
x[Rotation],0.628,0.255,0.209,1.096,0.004,0.003,4170.0,2474.0,1.0
x[Washout],0.651,0.365,0.116,1.262,0.007,0.005,3251.0,2430.0,1.0
x[ReRotation],0.567,0.259,0.143,1.02,0.004,0.003,4017.0,3060.0,1.0
x[ReWashout],0.515,0.318,0.006,1.112,0.005,0.004,3951.0,3014.0,1.0
