,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],1.984,0.554,0.932,2.992,0.007,0.005,5824.0,2662.0,1.0
x[Rotation],1.804,0.339,1.151,2.431,0.005,0.004,4039.0,3281.0,1.0
x[Washout],2.697,0.38,2.037,3.479,0.006,0.004,4490.0,3333.0,1.0
x[ReRotation],2.403,0.371,1.684,3.073,0.005,0.004,4680.0,3260.0,1.0
x[ReWashout],3.116,0.656,1.869,4.311,0.008,0.005,7637.0,3222.0,1.0
