,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ_μ_inf[Baseline],3.278,0.163,2.967,3.58,0.003,0.002,3428.0,3164.0,1.0
μ_μ_inf[Rotation],3.406,0.214,3.016,3.816,0.003,0.002,3801.0,3269.0,1.0
μ_μ_inf[Washout],4.098,0.288,3.547,4.631,0.005,0.003,3673.0,2893.0,1.0
μ_μ_inf[ReRotation],3.788,0.29,3.235,4.308,0.005,0.003,3533.0,3387.0,1.0
μ_μ_inf[ReWashout],4.005,0.429,3.241,4.809,0.006,0.004,5329.0,3194.0,1.0
