y,fish,stage,day,plotday,μ_μ_y,μ_μ_hdi_3%,μ_μ_hdi_97%,μ_y,μ_hdi_3%,μ_hdi_97%,ppc_y,ppc_hdi_3%,ppc_hdi_97%
4,9,Washout,9,48,3.482,2.468,4.587,3.482,2.468,4.587,3.524,0.0,7.0
3,9,Washout,10,49,3.502,2.425,4.6,3.502,2.425,4.6,3.492,0.0,7.0
1,9,ReRotation,1,50,2.378,0.473,4.329,2.378,0.473,4.329,2.35,0.0,6.0
3,9,ReRotation,2,51,2.936,1.562,4.348,2.936,1.562,4.348,2.957,0.0,6.0
1,9,ReRotation,3,52,3.294,2.145,4.453,3.294,2.145,4.453,3.266,0.0,6.0
5,9,ReRotation,4,53,3.538,2.525,4.573,3.538,2.525,4.573,3.568,0.0,7.0
5,9,ReRotation,5,54,3.71,2.782,4.713,3.71,2.782,4.713,3.719,0.0,7.0
5,9,ReRotation,6,55,3.836,2.916,4.774,3.836,2.916,4.774,3.841,0.0,7.0
5,9,ReRotation,7,56,3.929,3.034,4.852,3.929,3.034,4.852,3.892,0.0,7.0
3,9,ReRotation,8,57,3.999,3.078,4.908,3.999,3.078,4.908,4.012,0.0,7.0
4,9,ReRotation,9,58,4.053,3.164,5.023,4.053,3.164,5.023,4.033,0.0,7.0
2,9,ReRotation,10,59,4.095,3.197,5.088,4.095,3.197,5.088,4.103,0.0,7.0
3,9,ReRotation,11,60,4.128,3.185,5.124,4.128,3.185,5.124,4.136,1.0,8.0
6,9,ReRotation,12,61,4.154,3.196,5.176,4.154,3.196,5.176,4.149,1.0,8.0
4,9,ReRotation,13,62,4.175,3.223,5.233,4.175,3.223,5.233,4.205,1.0,8.0
5,9,ReRotation,14,63,4.191,3.245,5.281,4.191,3.245,5.281,4.211,1.0,8.0
5,9,ReRotation,15,64,4.205,3.239,5.291,4.205,3.239,5.291,4.138,1.0,8.0
4,9,ReWashout,1,65,3.955,1.924,5.956,3.955,1.924,5.956,3.982,0.0,8.0
3,9,ReWashout,2,66,3.999,2.573,5.47,3.999,2.573,5.47,3.992,1.0,8.0
5,9,ReWashout,3,67,4.027,2.777,5.203,4.027,2.777,5.203,4.035,1.0,8.0
4,9,ReWashout,4,68,4.045,2.954,5.159,4.045,2.954,5.159,4.052,1.0,8.0
4,9,ReWashout,5,69,4.059,2.983,5.155,4.059,2.983,5.155,4.075,0.0,7.0
4,9,ReWashout,6,70,4.069,3.022,5.236,4.069,3.022,5.236,4.049,0.0,7.0
4,9,ReWashout,7,71,4.077,3.063,5.338,4.077,3.063,5.338,4.078,1.0,8.0
5,9,ReWashout,8,72,4.083,2.923,5.261,4.083,2.923,5.261,4.104,1.0,8.0
3,9,ReWashout,9,73,4.088,2.876,5.279,4.088,2.876,5.279,4.071,1.0,8.0
4,9,ReWashout,10,74,4.091,2.858,5.336,4.091,2.858,5.336,4.148,1.0,8.0
