fish,stage,day,plotday,trial,EST,yds,distance
fish10,Baseline,17,17,4,0.0,13.96136999,4.381994095
fish10,Baseline,17,17,5,0.58474556,6.969861776,3.148130799
fish10,Baseline,17,17,6,0.741586838,5.552899552,5.770362336
fish10,Baseline,18,18,1,0.0,-29.76581255,16.09348393
fish10,Baseline,18,18,2,1.0,-0.347699512,4.550092507
fish10,Baseline,18,18,3,0.70117012,-4.212342334,12.54634063
fish10,Baseline,18,18,4,1.0,-0.672353509,3.86592504
fish10,Baseline,18,18,5,0.90064064,-2.906055705,4.042998158
fish10,Baseline,18,18,6,0.543098602,-5.7621748,5.438077528
fish10,Baseline,19,19,1,0.821485672,-4.149621364,3.41132849
fish10,Baseline,19,19,2,1.0,-0.527066496,3.285004076
fish10,Baseline,19,19,3,1.0,1.830051303,4.0597657
fish10,Baseline,19,19,4,0.956802521,-2.979472995,4.554071207
fish10,Baseline,19,19,5,0.676031265,-5.678771578,3.13381749
fish10,Baseline,19,19,6,0.536422882,6.89304502,3.694050077
fish10,Baseline,20,20,1,1.0,-1.556872327,9.528672537
fish10,Baseline,20,20,2,0.179357681,-9.958256416,3.771745442
fish10,Baseline,20,20,3,0.0,-19.65249189,13.80439615
fish10,Baseline,20,20,4,0.0,-39.79042795,16.30516655
fish10,Baseline,20,20,5,0.023689423,-11.85228727,2.886550097
fish10,Baseline,20,20,6,0.064125214,-9.862911718,8.42553203
fish10,Baseline,21,21,1,0.724983368,-5.742908657,2.90178612
fish10,Baseline,21,21,2,0.949821625,-3.101895763,4.678511557
fish10,Baseline,21,21,3,0.605926666,-6.656819066,13.23731358
fish10,Baseline,21,21,4,0.0,-61.99721645,18.16715512
fish10,Baseline,21,21,5,0.939092789,-3.350150941,3.24880002
fish10,Baseline,21,21,6,1.0,0.907170776,2.70542337
fish10,Baseline,22,22,1,1.0,-1.907647316,10.45623845
fish10,Baseline,22,22,2,1.0,-0.479507916,2.797938747
fish10,Baseline,22,22,3,0.0,-14.54253567,4.945490943
fish10,Baseline,22,22,4,1.0,-0.033002378,2.474701767
fish10,Baseline,22,22,5,1.0,0.919756214,3.36090432
fish10,Baseline,22,22,6,0.809784088,-4.631951668,2.928226994
fish10,Baseline,23,23,1,0.692062531,-5.867111527,6.538655432
fish10,Baseline,23,23,2,0.764379654,-5.340352965,3.322647246
fish10,Baseline,23,23,3,0.0,101.6869795,19.72983311
fish10,Baseline,23,23,4,1.0,-1.481745635,2.796355543
fish10,Baseline,23,23,5,0.0,-12.53101485,11.97836571
fish10,Baseline,23,23,6,0.0,-2.461889426,4.692820714
fish10,Baseline,24,24,1,0.940246735,3.37918827,2.47901493
fish10,Baseline,24,24,2,0.68784729,-5.814685331,6.290552737
fish10,Baseline,24,24,3,1.0,1.023991487,2.704006653
fish10,Baseline,24,24,4,0.895481262,-3.918700087,3.005767018
fish10,Baseline,24,24,5,0.0,-13.28164626,10.31185599
fish10,Baseline,24,24,6,1.0,2.124736284,2.5131056
fish10,Baseline,25,25,1,0.614786301,6.888815635,8.334198734
fish10,Baseline,25,25,2,1.0,0.152574695,6.659238978
fish10,Baseline,25,25,3,1.0,-3.076500943,2.464524824
fish10,Baseline,25,25,4,0.450420532,-8.907066022,2.495118704
fish10,Baseline,25,25,5,1.0,0.84473332,2.384620855
fish10,Baseline,25,25,6,0.179681931,11.15537464,3.86371477
fish10,Rotation,1,26,1,0.496807251,7.404272622,10.36915045
fish10,Rotation,1,26,2,1.0,2.556105944,5.646871256
fish10,Rotation,1,26,3,0.280285034,8.916918077,3.648817275
fish10,Rotation,1,26,4,0.0,16.920207,8.328805961
fish10,Rotation,1,26,5,0.494337234,7.321063544,11.89627401
fish10,Rotation,1,26,6,0.429506454,-8.168749547,5.574572709
fish10,Rotation,2,27,1,0.0,16.87446465,6.058438343
fish10,Rotation,2,27,2,0.599393997,5.794816804,7.381575578
fish10,Rotation,2,27,3,0.0,24.20868559,12.33295221
fish10,Rotation,2,27,4,0.0,23.36235435,6.226175851
fish10,Rotation,2,27,5,0.0,-117.2680979,9.13497724
fish10,Rotation,2,27,6,0.0,18.4447597,9.367299256
fish10,Rotation,3,28,1,0.0,50.37745656,23.01281454
fish10,Rotation,3,28,2,0.0,50.61404008,19.34827293
fish10,Rotation,3,28,3,0.805626068,4.257031545,12.64458666
fish10,Rotation,3,28,4,0.260324631,-9.622742545,5.308124072
fish10,Rotation,3,28,5,0.997905884,2.485634083,9.294410914
fish10,Rotation,3,28,6,0.0,17.04213655,12.5123473
fish10,Rotation,4,29,1,0.0,-113.0115008,12.64896578
fish10,Rotation,4,29,2,0.981645737,-3.007601595,3.630723476
fish10,Rotation,4,29,3,0.0,119.3705452,15.7737142
fish10,Rotation,4,29,4,0.879421387,3.653222771,4.131203524
fish10,Rotation,4,29,5,0.0,-21.36423207,8.433383745
