,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],-2.469,5.068,-12.278,6.573,0.068,0.067,5460.0,3611.0,1.0
x[Rotation],11.461,2.244,7.376,15.763,0.036,0.026,3996.0,2867.0,1.0
x[Washout],-8.607,2.574,-13.706,-4.256,0.054,0.038,2352.0,2697.0,1.0
x[ReRotation],10.987,1.82,7.534,14.325,0.026,0.019,4766.0,3249.0,1.0
x[ReWashout],-4.02,8.295,-19.074,12.489,0.092,0.136,8001.0,2612.0,1.0
