,fish,stage,day,plotday,y,PlotDay
95,7.0,Washout,10.0,37.0,-0.9966380535,24
96,7.0,ReRotation,1.0,38.0,6.0930769465,25
97,7.0,ReRotation,2.0,39.0,3.683664702,26
98,7.0,ReRotation,3.0,40.0,1.1207781730000002,27
99,7.0,ReRotation,4.0,41.0,3.8995089385,28
100,7.0,ReRotation,5.0,42.0,1.7210356290000002,29
101,7.0,ReRotation,6.0,43.0,7.3043285314999995,30
102,9.0,Baseline,1.0,1.0,-12.997377842,-24
103,9.0,Baseline,2.0,2.0,-65.312439075,-23
104,9.0,Baseline,3.0,3.0,-17.823983990000002,-22
105,9.0,Baseline,4.0,4.0,-6.8851018115,-21
106,9.0,Baseline,5.0,5.0,-4.200815417499999,-20
107,9.0,Baseline,6.0,6.0,-3.5464641935000003,-19
108,9.0,Baseline,7.0,7.0,-0.5124979175,-18
109,9.0,Baseline,8.0,8.0,-2.3593340725000003,-17
110,9.0,Baseline,9.0,9.0,-0.7420402334999998,-16
111,9.0,Baseline,10.0,10.0,3.3530181685000002,-15
112,9.0,Baseline,11.0,11.0,2.531897233,-14
113,9.0,Baseline,12.0,12.0,0.38472858649999997,-13
114,9.0,Baseline,13.0,13.0,-7.0938428259999995,-12
115,9.0,Baseline,14.0,14.0,-3.645349987,-11
116,9.0,Baseline,15.0,15.0,-2.743936996,-10
117,9.0,Baseline,16.0,16.0,-3.0628614835,-9
118,9.0,Baseline,17.0,17.0,8.645507099,-8
119,9.0,Baseline,18.0,18.0,-1.9193741869999998,-7
120,9.0,Baseline,19.0,19.0,-2.095887327,-6
121,9.0,Baseline,20.0,20.0,3.0419228305,-5
122,9.0,Baseline,21.0,21.0,0.29702175799999997,-4
123,9.0,Baseline,22.0,22.0,3.7936793829999997,-3
124,9.0,Baseline,23.0,23.0,-0.957399556,-2
125,9.0,Baseline,24.0,24.0,1.7376033055,-1
126,9.0,Rotation,1.0,25.0,7.2731844605000004,0
127,9.0,Rotation,2.0,26.0,12.16354028,1
128,9.0,Rotation,3.0,27.0,12.38653731,2
129,9.0,Rotation,4.0,28.0,-3.0047029515,3
130,9.0,Rotation,5.0,29.0,0.09077299949999995,4
131,9.0,Rotation,6.0,30.0,-110.92728045000001,5
132,9.0,Rotation,7.0,31.0,3.3571864995,6
133,9.0,Rotation,8.0,32.0,-76.28130953,7
134,9.0,Rotation,9.0,33.0,5.915979701,8
135,9.0,Rotation,10.0,34.0,0.4535772665000001,9
136,9.0,Rotation,11.0,35.0,-0.5862434670000001,10
137,9.0,Rotation,12.0,36.0,-12.452364185,11
