,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[Baseline],-0.541,2.265,-3.547,1.935,0.043,0.03,2542.0,2311.0,1.0
x[Rotation],-6.611,3.639,-13.527,-1.525,0.071,0.05,2677.0,2754.0,1.0
x[Washout],5.665,8.158,-6.64,22.33,0.171,0.121,2088.0,1836.0,1.0
x[ReRotation],-2.31,1.209,-4.586,-0.416,0.027,0.021,2416.0,2512.0,1.0
x[ReWashout],0.44,2.995,-3.95,5.084,0.069,0.049,2687.0,2039.0,1.0
