y,fish,stage,day,plotday
50.61404008,10,Rotation,3.0,28
4.257031545,10,Rotation,3.0,28
-9.622742545,10,Rotation,3.0,28
2.485634083,10,Rotation,3.0,28
17.04213655,10,Rotation,3.0,28
-113.0115008,10,Rotation,4.0,29
-3.007601595,10,Rotation,4.0,29
119.3705452,10,Rotation,4.0,29
3.653222771,10,Rotation,4.0,29
-21.36423207,10,Rotation,4.0,29
-131.9000591,10,Rotation,4.0,29
2.55578147,10,Rotation,5.0,30
8.814399902,10,Rotation,5.0,30
38.52394335,10,Rotation,5.0,30
-6.738322299,10,Rotation,5.0,30
8.386667111,10,Rotation,5.0,30
-10.5038753,10,Rotation,5.0,30
9.003493573,10,Rotation,6.0,31
9.54051984,10,Rotation,6.0,31
23.48516511,10,Rotation,6.0,31
5.031138748,10,Rotation,6.0,31
22.62088726,10,Rotation,6.0,31
2.241154547,10,Rotation,6.0,31
-112.2269956,10,Rotation,7.0,32
4.295703671,10,Rotation,7.0,32
1.17476709,10,Rotation,7.0,32
-9.176160771,10,Rotation,7.0,32
-4.832301321,10,Rotation,7.0,32
31.35160482,10,Rotation,7.0,32
12.18964582,10,Rotation,8.0,33
-6.9758916,10,Rotation,8.0,33
-0.305449534,10,Rotation,8.0,33
2.058326608,10,Rotation,8.0,33
5.114541244,10,Rotation,8.0,33
24.41222354,10,Rotation,8.0,33
-7.903134914,10,Rotation,9.0,34
-94.79583431,10,Rotation,9.0,34
-4.041330529,10,Rotation,9.0,34
-9.982083567,10,Rotation,9.0,34
-4.889584425,10,Rotation,9.0,34
-115.7916471,10,Rotation,9.0,34
5.325795353,10,Rotation,10.0,35
-5.053970824,10,Rotation,10.0,35
-8.28086487,10,Rotation,10.0,35
-13.79249741,10,Rotation,10.0,35
-12.91129728,10,Rotation,10.0,35
26.24676356,10,Rotation,10.0,35
2.290672603,10,Rotation,11.0,36
3.219860686,10,Rotation,11.0,36
1.768733122,10,Rotation,11.0,36
2.62677977,10,Rotation,11.0,36
33.64147735,10,Rotation,11.0,36
3.294848981,10,Rotation,11.0,36
5.593137142,10,Rotation,12.0,37
6.321541921,10,Rotation,12.0,37
11.00922304,10,Rotation,12.0,37
-10.55380945,10,Rotation,12.0,37
-15.12872901,10,Rotation,12.0,37
15.38601481,10,Rotation,12.0,37
-8.880225534,10,Rotation,13.0,38
-5.437440993,10,Rotation,13.0,38
-8.892027576,10,Rotation,13.0,38
-2.97449466,10,Rotation,13.0,38
19.36963679,10,Rotation,13.0,38
6.29115805,10,Rotation,13.0,38
-7.069376943,10,Rotation,14.0,39
4.408290021,10,Rotation,14.0,39
-28.0282549,10,Rotation,14.0,39
0.198380565,10,Rotation,14.0,39
