,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ_μ_inf[Baseline],-3.179,0.701,-4.523,-1.861,0.013,0.009,2880.0,2467.0,1.0
μ_μ_inf[Rotation],-1.479,1.389,-4.1,1.11,0.03,0.021,2174.0,2514.0,1.0
μ_μ_inf[Washout],-3.53,0.914,-5.177,-1.687,0.026,0.019,1350.0,1221.0,1.0
μ_μ_inf[ReRotation],-1.803,2.413,-6.456,2.495,0.046,0.036,2734.0,2512.0,1.0
μ_μ_inf[ReWashout],-6.812,4.026,-13.977,0.702,0.048,0.042,7019.0,2946.0,1.0
